images\000000000.tif  labels\000000000.xml 
images\000000288.tif  labels\000000288.xml 
images\000000289.tif  labels\000000289.xml 
images\000000290.tif  labels\000000290.xml 
images\000000291.tif  labels\000000291.xml 
images\000000292.tif  labels\000000292.xml 
images\000000293.tif  labels\000000293.xml 
images\000000294.tif  labels\000000294.xml 
images\000000295.tif  labels\000000295.xml 
images\000000296.tif  labels\000000296.xml 
images\000000297.tif  labels\000000297.xml 
images\000000298.tif  labels\000000298.xml 
images\000000299.tif  labels\000000299.xml 
images\000000300.tif  labels\000000300.xml 
images\000000301.tif  labels\000000301.xml 
images\000000302.tif  labels\000000302.xml 
images\000000303.tif  labels\000000303.xml 
images\000000304.tif  labels\000000304.xml 
images\000000305.tif  labels\000000305.xml 
images\000000306.tif  labels\000000306.xml 
images\000000307.tif  labels\000000307.xml 
images\000000308.tif  labels\000000308.xml 
images\000000309.tif  labels\000000309.xml 
images\000000310.tif  labels\000000310.xml 
images\000000311.tif  labels\000000311.xml 
images\000000312.tif  labels\000000312.xml 
images\000000313.tif  labels\000000313.xml 
images\000000314.tif  labels\000000314.xml 
images\000000315.tif  labels\000000315.xml 
images\000000316.tif  labels\000000316.xml 
images\000000317.tif  labels\000000317.xml 
images\000000318.tif  labels\000000318.xml 
images\000000319.tif  labels\000000319.xml 
images\000000320.tif  labels\000000320.xml 
images\000000321.tif  labels\000000321.xml 
images\000000322.tif  labels\000000322.xml 
images\000000323.tif  labels\000000323.xml 
images\000000324.tif  labels\000000324.xml 
images\000000325.tif  labels\000000325.xml 
images\000000326.tif  labels\000000326.xml 
images\000000327.tif  labels\000000327.xml 
images\000000328.tif  labels\000000328.xml 
images\000000329.tif  labels\000000329.xml 
images\000000330.tif  labels\000000330.xml 
images\000000331.tif  labels\000000331.xml 
images\000000332.tif  labels\000000332.xml 
images\000000333.tif  labels\000000333.xml 
images\000000334.tif  labels\000000334.xml 
images\000000335.tif  labels\000000335.xml 
images\000000336.tif  labels\000000336.xml 
images\000000337.tif  labels\000000337.xml 
images\000000338.tif  labels\000000338.xml 
images\000000339.tif  labels\000000339.xml 
images\000000340.tif  labels\000000340.xml 
images\000000341.tif  labels\000000341.xml 
images\000000342.tif  labels\000000342.xml 
images\000000343.tif  labels\000000343.xml 
images\000000344.tif  labels\000000344.xml 
images\000000345.tif  labels\000000345.xml 
images\000000346.tif  labels\000000346.xml 
images\000000347.tif  labels\000000347.xml 
images\000000348.tif  labels\000000348.xml 
images\000000349.tif  labels\000000349.xml 
images\000000350.tif  labels\000000350.xml 
images\000000351.tif  labels\000000351.xml 
images\000000352.tif  labels\000000352.xml 
images\000000353.tif  labels\000000353.xml 
images\000000354.tif  labels\000000354.xml 
images\000000355.tif  labels\000000355.xml 
images\000000356.tif  labels\000000356.xml 
images\000000357.tif  labels\000000357.xml 
images\000000358.tif  labels\000000358.xml 
images\000000359.tif  labels\000000359.xml 
images\000000360.tif  labels\000000360.xml 
images\000000361.tif  labels\000000361.xml 
images\000000362.tif  labels\000000362.xml 
images\000000363.tif  labels\000000363.xml 
images\000000364.tif  labels\000000364.xml 
images\000000365.tif  labels\000000365.xml 
images\000000366.tif  labels\000000366.xml 
images\000000367.tif  labels\000000367.xml 
images\000000368.tif  labels\000000368.xml 
images\000000369.tif  labels\000000369.xml 
images\000000370.tif  labels\000000370.xml 
images\000000371.tif  labels\000000371.xml 
images\000000372.tif  labels\000000372.xml 
images\000000373.tif  labels\000000373.xml 
images\000000374.tif  labels\000000374.xml 
images\000000375.tif  labels\000000375.xml 
images\000000376.tif  labels\000000376.xml 
images\000000377.tif  labels\000000377.xml 
images\000000378.tif  labels\000000378.xml 
images\000000379.tif  labels\000000379.xml 
images\000000380.tif  labels\000000380.xml 
images\000000381.tif  labels\000000381.xml 
images\000000382.tif  labels\000000382.xml 
images\000000383.tif  labels\000000383.xml 
images\000000384.tif  labels\000000384.xml 
images\000000385.tif  labels\000000385.xml 
images\000000386.tif  labels\000000386.xml 
images\000000387.tif  labels\000000387.xml 
images\000000388.tif  labels\000000388.xml 
images\000000389.tif  labels\000000389.xml 
images\000000390.tif  labels\000000390.xml 
images\000000391.tif  labels\000000391.xml 
images\000000392.tif  labels\000000392.xml 
images\000000393.tif  labels\000000393.xml 
images\000000394.tif  labels\000000394.xml 
images\000000395.tif  labels\000000395.xml 
images\000000396.tif  labels\000000396.xml 
images\000000397.tif  labels\000000397.xml 
images\000000398.tif  labels\000000398.xml 
images\000000399.tif  labels\000000399.xml 
images\000000400.tif  labels\000000400.xml 
images\000000401.tif  labels\000000401.xml 
images\000000402.tif  labels\000000402.xml 
images\000000403.tif  labels\000000403.xml 
images\000000404.tif  labels\000000404.xml 
images\000000405.tif  labels\000000405.xml 
images\000000406.tif  labels\000000406.xml 
images\000000407.tif  labels\000000407.xml 
images\000000408.tif  labels\000000408.xml 
images\000000409.tif  labels\000000409.xml 
images\000000410.tif  labels\000000410.xml 
images\000000411.tif  labels\000000411.xml 
images\000000412.tif  labels\000000412.xml 
images\000000413.tif  labels\000000413.xml 
images\000000414.tif  labels\000000414.xml 
images\000000415.tif  labels\000000415.xml 
images\000000416.tif  labels\000000416.xml 
images\000000417.tif  labels\000000417.xml 
images\000000418.tif  labels\000000418.xml 
images\000000419.tif  labels\000000419.xml 
images\000000420.tif  labels\000000420.xml 
images\000000421.tif  labels\000000421.xml 
images\000000422.tif  labels\000000422.xml 
images\000000423.tif  labels\000000423.xml 
images\000000424.tif  labels\000000424.xml 
images\000000425.tif  labels\000000425.xml 
images\000000426.tif  labels\000000426.xml 
images\000000427.tif  labels\000000427.xml 
images\000000428.tif  labels\000000428.xml 
images\000000429.tif  labels\000000429.xml 
images\000000430.tif  labels\000000430.xml 
images\000000431.tif  labels\000000431.xml 
images\000000432.tif  labels\000000432.xml 
images\000000433.tif  labels\000000433.xml 
images\000000434.tif  labels\000000434.xml 
images\000000435.tif  labels\000000435.xml 
images\000000436.tif  labels\000000436.xml 
images\000000437.tif  labels\000000437.xml 
images\000000438.tif  labels\000000438.xml 
images\000000439.tif  labels\000000439.xml 
images\000000440.tif  labels\000000440.xml 
images\000000441.tif  labels\000000441.xml 
images\000000442.tif  labels\000000442.xml 
images\000000443.tif  labels\000000443.xml 
images\000000444.tif  labels\000000444.xml 
images\000000445.tif  labels\000000445.xml 
images\000000446.tif  labels\000000446.xml 
images\000000447.tif  labels\000000447.xml 
images\000000448.tif  labels\000000448.xml 
images\000000449.tif  labels\000000449.xml 
images\000000450.tif  labels\000000450.xml 
images\000000451.tif  labels\000000451.xml 
images\000000452.tif  labels\000000452.xml 
images\000000453.tif  labels\000000453.xml 
images\000000454.tif  labels\000000454.xml 
images\000000455.tif  labels\000000455.xml 
images\000000456.tif  labels\000000456.xml 
images\000000457.tif  labels\000000457.xml 
images\000000458.tif  labels\000000458.xml 
images\000000459.tif  labels\000000459.xml 
images\000000460.tif  labels\000000460.xml 
images\000000461.tif  labels\000000461.xml 
images\000000462.tif  labels\000000462.xml 
images\000000463.tif  labels\000000463.xml 
images\000000464.tif  labels\000000464.xml 
images\000000465.tif  labels\000000465.xml 
images\000000466.tif  labels\000000466.xml 
images\000000467.tif  labels\000000467.xml 
images\000000468.tif  labels\000000468.xml 
images\000000469.tif  labels\000000469.xml 
images\000000470.tif  labels\000000470.xml 
images\000000471.tif  labels\000000471.xml 
images\000000472.tif  labels\000000472.xml 
images\000000473.tif  labels\000000473.xml 
images\000000474.tif  labels\000000474.xml 
images\000000475.tif  labels\000000475.xml 
images\000000476.tif  labels\000000476.xml 
images\000000477.tif  labels\000000477.xml 
images\000000478.tif  labels\000000478.xml 
images\000000479.tif  labels\000000479.xml 
images\000000480.tif  labels\000000480.xml 
images\000000481.tif  labels\000000481.xml 
images\000000482.tif  labels\000000482.xml 
images\000000483.tif  labels\000000483.xml 
images\000000484.tif  labels\000000484.xml 
images\000000485.tif  labels\000000485.xml 
images\000000486.tif  labels\000000486.xml 
images\000000487.tif  labels\000000487.xml 
images\000000488.tif  labels\000000488.xml 
images\000000489.tif  labels\000000489.xml 
images\000000490.tif  labels\000000490.xml 
images\000000491.tif  labels\000000491.xml 
images\000000492.tif  labels\000000492.xml 
images\000000493.tif  labels\000000493.xml 
images\000000494.tif  labels\000000494.xml 
images\000000495.tif  labels\000000495.xml 
images\000000496.tif  labels\000000496.xml 
images\000000497.tif  labels\000000497.xml 
images\000000498.tif  labels\000000498.xml 
images\000000499.tif  labels\000000499.xml 
images\000000500.tif  labels\000000500.xml 
images\000000501.tif  labels\000000501.xml 
images\000000502.tif  labels\000000502.xml 
images\000000503.tif  labels\000000503.xml 
images\000000504.tif  labels\000000504.xml 
images\000000505.tif  labels\000000505.xml 
images\000000506.tif  labels\000000506.xml 
images\000000507.tif  labels\000000507.xml 
images\000000508.tif  labels\000000508.xml 
images\000000509.tif  labels\000000509.xml 
images\000000510.tif  labels\000000510.xml 
images\000000511.tif  labels\000000511.xml 
images\000000512.tif  labels\000000512.xml 
images\000000513.tif  labels\000000513.xml 
images\000000514.tif  labels\000000514.xml 
images\000000515.tif  labels\000000515.xml 
images\000000516.tif  labels\000000516.xml 
images\000000517.tif  labels\000000517.xml 
images\000000518.tif  labels\000000518.xml 
images\000000519.tif  labels\000000519.xml 
images\000000520.tif  labels\000000520.xml 
images\000000521.tif  labels\000000521.xml 
images\000000522.tif  labels\000000522.xml 
images\000000523.tif  labels\000000523.xml 
images\000000524.tif  labels\000000524.xml 
images\000000525.tif  labels\000000525.xml 
images\000000526.tif  labels\000000526.xml 
images\000000527.tif  labels\000000527.xml 
images\000000528.tif  labels\000000528.xml 
images\000000529.tif  labels\000000529.xml 
images\000000530.tif  labels\000000530.xml 
images\000000531.tif  labels\000000531.xml 
images\000000532.tif  labels\000000532.xml 
images\000000533.tif  labels\000000533.xml 
images\000000534.tif  labels\000000534.xml 
images\000000535.tif  labels\000000535.xml 
images\000000536.tif  labels\000000536.xml 
images\000000537.tif  labels\000000537.xml 
images\000000538.tif  labels\000000538.xml 
images\000000539.tif  labels\000000539.xml 
images\000000540.tif  labels\000000540.xml 
images\000000541.tif  labels\000000541.xml 
images\000000542.tif  labels\000000542.xml 
images\000000543.tif  labels\000000543.xml 
images\000000544.tif  labels\000000544.xml 
images\000000545.tif  labels\000000545.xml 
images\000000546.tif  labels\000000546.xml 
images\000000547.tif  labels\000000547.xml 
images\000000548.tif  labels\000000548.xml 
images\000000549.tif  labels\000000549.xml 
images\000000550.tif  labels\000000550.xml 
images\000000551.tif  labels\000000551.xml 
images\000000552.tif  labels\000000552.xml 
images\000000553.tif  labels\000000553.xml 
images\000000554.tif  labels\000000554.xml 
images\000000555.tif  labels\000000555.xml 
images\000000556.tif  labels\000000556.xml 
images\000000557.tif  labels\000000557.xml 
images\000000558.tif  labels\000000558.xml 
images\000000559.tif  labels\000000559.xml 
images\000000560.tif  labels\000000560.xml 
images\000000561.tif  labels\000000561.xml 
images\000000562.tif  labels\000000562.xml 
images\000000563.tif  labels\000000563.xml 
images\000000564.tif  labels\000000564.xml 
images\000000565.tif  labels\000000565.xml 
images\000000566.tif  labels\000000566.xml 
images\000000567.tif  labels\000000567.xml 
images\000000568.tif  labels\000000568.xml 
images\000000569.tif  labels\000000569.xml 
images\000000570.tif  labels\000000570.xml 
images\000000571.tif  labels\000000571.xml 
images\000000572.tif  labels\000000572.xml 
images\000000573.tif  labels\000000573.xml 
images\000000574.tif  labels\000000574.xml 
images\000000575.tif  labels\000000575.xml 
images\000000576.tif  labels\000000576.xml 
images\000000577.tif  labels\000000577.xml 
images\000000578.tif  labels\000000578.xml 
images\000000579.tif  labels\000000579.xml 
images\000000580.tif  labels\000000580.xml 
images\000000581.tif  labels\000000581.xml 
images\000000582.tif  labels\000000582.xml 
images\000000583.tif  labels\000000583.xml 
images\000000584.tif  labels\000000584.xml 
images\000000585.tif  labels\000000585.xml 
images\000000586.tif  labels\000000586.xml 
images\000000587.tif  labels\000000587.xml 
images\000000588.tif  labels\000000588.xml 
images\000000589.tif  labels\000000589.xml 
images\000000590.tif  labels\000000590.xml 
images\000000591.tif  labels\000000591.xml 
images\000000592.tif  labels\000000592.xml 
images\000000593.tif  labels\000000593.xml 
images\000000594.tif  labels\000000594.xml 
images\000000595.tif  labels\000000595.xml 
images\000000596.tif  labels\000000596.xml 
images\000000597.tif  labels\000000597.xml 
images\000000598.tif  labels\000000598.xml 
images\000000599.tif  labels\000000599.xml 
images\000000600.tif  labels\000000600.xml 
images\000000601.tif  labels\000000601.xml 
images\000000602.tif  labels\000000602.xml 
images\000000603.tif  labels\000000603.xml 
images\000000604.tif  labels\000000604.xml 
images\000000605.tif  labels\000000605.xml 
images\000000606.tif  labels\000000606.xml 
images\000000607.tif  labels\000000607.xml 
images\000000608.tif  labels\000000608.xml 
images\000000609.tif  labels\000000609.xml 
images\000000610.tif  labels\000000610.xml 
images\000000611.tif  labels\000000611.xml 
images\000000612.tif  labels\000000612.xml 
images\000000613.tif  labels\000000613.xml 
images\000000614.tif  labels\000000614.xml 
images\000000615.tif  labels\000000615.xml 
images\000000616.tif  labels\000000616.xml 
images\000000617.tif  labels\000000617.xml 
images\000000618.tif  labels\000000618.xml 
images\000000619.tif  labels\000000619.xml 
images\000000620.tif  labels\000000620.xml 
images\000000621.tif  labels\000000621.xml 
images\000000622.tif  labels\000000622.xml 
images\000000623.tif  labels\000000623.xml 
images\000000624.tif  labels\000000624.xml 
images\000000625.tif  labels\000000625.xml 
images\000000626.tif  labels\000000626.xml 
images\000000627.tif  labels\000000627.xml 
images\000000628.tif  labels\000000628.xml 
images\000000629.tif  labels\000000629.xml 
images\000000630.tif  labels\000000630.xml 
images\000000631.tif  labels\000000631.xml 
images\000000632.tif  labels\000000632.xml 
images\000000633.tif  labels\000000633.xml 
images\000000634.tif  labels\000000634.xml 
images\000000635.tif  labels\000000635.xml 
images\000000636.tif  labels\000000636.xml 
images\000000637.tif  labels\000000637.xml 
images\000000638.tif  labels\000000638.xml 
images\000000639.tif  labels\000000639.xml 
images\000000640.tif  labels\000000640.xml 
images\000000641.tif  labels\000000641.xml 
images\000000642.tif  labels\000000642.xml 
images\000000643.tif  labels\000000643.xml 
images\000000644.tif  labels\000000644.xml 
images\000000645.tif  labels\000000645.xml 
images\000000646.tif  labels\000000646.xml 
images\000000647.tif  labels\000000647.xml 
images\000000648.tif  labels\000000648.xml 
images\000000649.tif  labels\000000649.xml 
images\000000650.tif  labels\000000650.xml 
images\000000651.tif  labels\000000651.xml 
images\000000652.tif  labels\000000652.xml 
images\000000653.tif  labels\000000653.xml 
images\000000654.tif  labels\000000654.xml 
images\000000655.tif  labels\000000655.xml 
images\000000656.tif  labels\000000656.xml 
images\000000657.tif  labels\000000657.xml 
images\000000658.tif  labels\000000658.xml 
images\000000659.tif  labels\000000659.xml 
images\000000660.tif  labels\000000660.xml 
images\000000661.tif  labels\000000661.xml 
images\000000662.tif  labels\000000662.xml 
images\000000663.tif  labels\000000663.xml 
images\000000664.tif  labels\000000664.xml 
images\000000665.tif  labels\000000665.xml 
images\000000666.tif  labels\000000666.xml 
images\000000667.tif  labels\000000667.xml 
images\000000668.tif  labels\000000668.xml 
images\000000669.tif  labels\000000669.xml 
images\000000670.tif  labels\000000670.xml 
images\000000671.tif  labels\000000671.xml 
images\000000672.tif  labels\000000672.xml 
images\000000673.tif  labels\000000673.xml 
images\000000674.tif  labels\000000674.xml 
images\000000675.tif  labels\000000675.xml 
images\000000676.tif  labels\000000676.xml 
images\000000677.tif  labels\000000677.xml 
images\000000678.tif  labels\000000678.xml 
images\000000679.tif  labels\000000679.xml 
images\000000680.tif  labels\000000680.xml 
images\000000681.tif  labels\000000681.xml 
images\000000682.tif  labels\000000682.xml 
images\000000683.tif  labels\000000683.xml 
images\000000684.tif  labels\000000684.xml 
images\000000685.tif  labels\000000685.xml 
images\000000686.tif  labels\000000686.xml 
images\000000687.tif  labels\000000687.xml 
images\000000688.tif  labels\000000688.xml 
images\000000689.tif  labels\000000689.xml 
images\000000690.tif  labels\000000690.xml 
images\000000691.tif  labels\000000691.xml 
images\000000692.tif  labels\000000692.xml 
images\000000693.tif  labels\000000693.xml 
images\000000694.tif  labels\000000694.xml 
images\000000695.tif  labels\000000695.xml 
images\000000696.tif  labels\000000696.xml 
images\000000697.tif  labels\000000697.xml 
images\000000698.tif  labels\000000698.xml 
