ID,CBSA,PD,F,NE,T,FZ,NG,County,Source_ID,Latitude,Longitude,aveTE_ppb,TE_ppb,stdTE_ppb,minTE_ppb,maxTE_ppb,INRIX_C,OMI-JAN_2020,OMI_FEB_2020,OMI_MAR_2020,OMI_APR_2020,OMI_MAY_2020,OMI_JUNE_2020,OMI-Jan_2019,OMI_Feb_2019,OMI_Mar_2019,OMI_Apr_2019,OMI_May_2019,OMI_June_2019,LandUse
11,"Santa Maria-Santa Barbara, CA",110,1,20,0.11,1,61.6,Santa Barbara,"California Air Resources Board,  Santa Maria",34.942872,-120.435611,8.854561,7.45,5.2698215,,33.7,,,,,,,,,,,,,,"Air quality in the county, unlike much of southern California, is generally good because of the prevailing winds off of the Pacific Ocean. The county is in attainment of federal standards for ozone and particulate matter, but exceeds state standards for these pollutants. Sometimes in late summer and early autumn there are days with higher ozone levels; usually this occurs when there is a low inversion layer under a stagnant air mass, which traps pollutants underneath. On these days the visibility from the higher summits may be more than a hundred miles, while the population on the coastal plain experiences haze and smog.  Four of the Channel Islands – San Miguel Island, Santa Cruz Island, Santa Rosa Island and Santa Barbara Island – are in Santa Barbara County. They form the largest part of the Channel Islands National Park (which also includes Anacapa Island in Ventura County).  Santa Barbara County has a mountainous interior abutting several coastal plains on the west and south coasts of the county. The largest concentration of population is on the southern coastal plain, referred to as the ""south coast"" – meaning the part of the county south of the Santa Ynez Mountains."
12,"Oxnard-Thousand Oaks-Ventura, CA",370,1,20,0.37,30,207.2,Ventura,"Ventura County APCD,  Simi Valley-Cochran Street",34.276316,-118.683685,13.368823,11,8.04950025,,45,,,,,,,,,,,,,,"The USDA Economic Research Service rated Ventura County the most desirable county to live in the 48 contiguous states, using six metrics of climate (""mild, sunny winters, temperate summers, low humidity""), topographic variation, and access to water, ""that reflect environmental qualities most people prefer.""[58] There are 555,953 acres (224,986 ha) outside of national forest land in Ventura County, which means that 53 percent of the county's total area is made up of national forest. Of the land outside of national forest land, approximately 59 percent is agricultural and 17.5 percent urban.[53] North of Highway 126, the county is mountainous and mostly uninhabited, and contains some of the most unspoiled, rugged and inaccessible wilderness remaining in southern California. Most of this land is in the Los Padres National Forest, and includes the Chumash Wilderness in the northernmost portion, adjacent to Kern County, as well as the large Sespe Wilderness and portions of both the Dick Smith Wilderness and Matilija Wilderness (both of these protected areas straddle the line with Santa Barbara County). All of the wilderness areas are within the jurisdiction of Los Padres National Forest. "
13,"Merced, CA",130,1,7,0.13,200,72.8,Merced,"San Joaquin Valley Unified Air Pollution Control District,  Merced-Coffee",37.281853,-120.433671,11.111692,9.2,6.659660875,1.9,38.7,,,,,,,,,,,,,,"There have been studies conducted that point to the possibility of fertilized land being the cause of the vast amounts of smog in suburban areas. Nitrogen, which is present in soil, leaks into the air creating nitrogen oxide in which is a main component of smog. This amount of NOx that is leaked into the air can cause the majority of health issues that are observed in California (Stolark, 2018). These health conditions were described in the introduction and can be detrimental to children and the elderly. Image A below, shows the drastic difference of the amount of nitrogen that is expelled into the air due to fertilizer. Mogenson states that 4% of the states nitrogen oxide emissions come from soil on agricultural land even though there is not any agricultural land near the hotspots of California's smog studies such as Sacramento and Los Angeles (2018). The problem lies when deciding how to combat the amount of nitrogen that is expelled from soil, when agricultural growth like fruits and vegetables are a main source of the currency California has. According to the U.S. Census Bureau, the county has a total area of 1,979 square miles (5,130 km2), of which 1,935 square miles (5,010 km2) is land and 44 square miles (110 km2) (2.2%) is water.[8] National protected areas      Merced National Wildlife Refuge     San Luis National Wildlife Refuge"
14,"Yuba City, CA",1736.39,1,5,1.73639,130,972.3784,Sutter,"Yuba City, CA, AQS Data Mart ",39.13877254,-121.618549,10.8207625,4.2,7.866773,,45.2,,,,,,,,,,,,,,"The Yuba City area is located 40 miles north of Sacramento and situated in the Sacramento Valley. It is home to the Sutter Buttes, the smallest mountain range in the world.[18] The Feather River borders the city to the east and the area is sometimes referred to as the ""Feather River Valley"", which divides the city from its neighbor Marysville.  Yuba City is home to the largest dried fruit processing plant in the world,[23] Sunsweet Growers Incorporated. In 1988 Yuba City was home to the California Prune Festival. In 2001 the name was changed to the California Dried Plum Festival and in early 2003 directors announced the end of the festival's 15-year run in the Yuba-Sutter area. This was primarily due to rise in costs, difficulty in securing sponsors, and competition from other festivals.  Yuba City is known for its sizeable Sikh community.[26][27] The Sikh population in the Yuba-Sutter Area has grown to be one of the largest in the United States and one of the largest Sikh populations outside of the Punjab state of India. "
15," Chico, CA",1168.25,1,5,1.16825,120,654.22,Butte,"California Air Resources Board,  Chico-East Avenue",39.76168,-121.84047,10.752029,8.5,7.168013,,41.2,,,,,,,,,,,,,,"Chico sits on the Sacramento Valley floor close to the foothills of the Cascade Range to the north and the Sierra Nevada range to the east and south. Big Chico Creek is the demarcation line between the ranges. The city's terrain is generally flat with increasingly hilly terrain beginning at the eastern city limits. Chico has always been a regional retail shopping destination. . Chico's largest retail district is focused around the Chico Mall on East 20th Street. In the two decades since the Chico Mall was constructed, many national retailers have located nearby, including Target, Kohl's, Forever 21, Best Buy, and Walmart. In January 2008, plans were unveiled to remodel the Chico Mall by demolishing the westernmost portion of the mall (previously home to Troutman's) and constructing an open air ""lifestyle"" shopping center that will connect the mall with the Kohl's shopping center nearby. This has since been amended as Dick's Sporting Goods has renovated both the interior and exterior the space formerly occupied by Troutmans, and officially opened on July 10, 2013. "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Field Name = ‘OMI_JAN_2020’ is the NO2 Emissions for 16 Ground-Level Monitoring Station Monthly value obtained from the Time Averaged Map of NO2 Tropospheric Column (30% Cloud Screened) daily 0.25 deg. [OMI OMNO2d v003] 1/cm2over 2020-01-01 - 2020-01-31, Shape California, Region 133.5937W, 1.5234N, 90.7031W, 45.1172N data from the file ‘GIOVANNI-g4.timeAvgMap.OMNO2d_003_ColumnAmountNO2TropCloudScreened.20200101-20200131.133W_1N_90W_45N.tif’ downloaded from https://giovanni.gsfc.nasa.gov/giovanni/#service=TmAvMp&starttime=2020-01-01T00:00:00Z&endtime=2020-01-31T23:59:59Z&shape=tl_2014_us_state/shp_13&bbox=-133.5937,1.5234,-90.7031,45.1172&data=OMNO2d_003_ColumnAmountNO2TropCloudScreened and viewed on ArcMap, the data was rescaled. MetaData [Three types of data were Collected , July 2020:    1. Model Data & Parameters     2. Analysis Data, Response to COVID    3. Baseline Data] Collected , July 2020:    1. Model Data & Parameters     2. Analysis Data, Response to COVID    3. Baseline Data] by, Linda Angulo Lopez @lindangulopez","Field Name = ‘OMI_FEB_2020’ is the NO2 Emissions for 16 Ground-Level Monitoring Station Monthly value obtained from theTime    data from the file ‘GIOVANNI-g4.timeAvgMap.OMNO2d_003_ColumnAmountNO2TropCloudScreened.20200201-20200229.133W_1N_90W_45N.tif’ downloaded from https://giovanni.gsfc.nasa.gov/giovanni/#service=TmAvMp&starttime=2020-02-01T00:00:00Z&endtime=2020-02-29T23:59:59Z&shape=tl_2014_us_state/shp_13&bbox=-133.5937,1.5234,-90.7031,45.1172&data=OMNO2d_003_ColumnAmountNO2TropCloudScreened&variableFacets=dataFieldDiscipline%3AAtmospheric%20Chemistry%3B and viewed on ArcMap, the data was rescaled. MetaData [Three types of data were Collected, July 2020:    1. Model Data & Parameters     2. Analysis Data, Response to COVID    3. Baseline Data] Collected , July 2020:    1. Model Data & Parameters     2. Analysis Data, Response to COVID    3. Baseline Data] by, Linda Angulo Lopez @lindangulopez",,,,,"Field Name = ‘OMI_Jan_2019’ is the NO2 Emissions for 16 Ground-Level Monitoring Station Monthly value obtained from theTime Averaged Map of NO2 Tropospheric Column (30% Cloud Screened) daily 0.25 deg. [OMI OMNO2d v003] 1/cm2over 2019-01-01 - 2019-01-31, Shape California, Region 133.5937W, 1.5234N, 90.7031W, 45.1172N data from the file ‘GIOVANNI-g4.timeAvgMap.OMNO2d_003_ColumnAmountNO2TropCloudScreened.20190101-20190131.133W_1N_90W_45N.tif’ downloaded from https://giovanni.gsfc.nasa.gov/giovanni/#service=TmAvMp&starttime=2019-01-01T00:00:00Z&endtime=2019-01-31T23:59:59Z&shape=tl_2014_us_state/shp_13&bbox=-133.5937,1.5234,-90.7031,45.1172&data=OMNO2d_003_ColumnAmountNO2TropCloudScreened&variableFacets=dataFieldDiscipline%3AAtmospheric%20Chemistry%3B and viewed on ArcMap, the data was rescaled. MetaData [Three types of data were Collected, July 2020:    1. Model Data & Parameters     2. Analysis Data, Response to COVID    3. Baseline Data] Collected 6 Created , July 2020:    1. Model Data & Parameters     2. Analysis Data, Response to COVID    3. Baseline Data] by, Linda Angulo Lopez @lindangulopez","Field Name = ‘OMI_Feb_2019’ is the NO2 Emissions for 16 Ground-Level Monitoring Station Monthly value obtained from theTime  Time Averaged Map of NO2 Tropospheric Column (30% Cloud Screened) daily 0.25 deg. [OMI OMNO2d v003] 1/cm2over 2020-02-01 - 2020-02-29, Shape California, Region 133.5937W, 1.5234N, 90.7031W, 45.1172N   data from the file ‘ GIOVANNI-g4.timeAvgMap.OMNO2d_003_ColumnAmountNO2TropCloudScreened.20190201-20190228.133W_1N_90W_45N.tif’ downloaded from  https://giovanni.gsfc.nasa.gov/giovanni/#service=TmAvMp&starttime=2020-02-01T00:00:00Z&endtime=2020-02-29T23:59:59Z&shape=tl_2014_us_state/shp_13&bbox=-133.5937,1.5234,-90.7031,45.1172&data=OMNO2d_003_ColumnAmountNO2TropCloudScreened&variableFacets=dataFieldDiscipline%3AAtmospheric%20Chemistry%3B   and viewed on ArcMap, the data was rescaled. MetaData [Three types of data were Collected, July 2020:    1. Model Data & Parameters     2. Analysis Data, Response to COVID    3. Baseline Data] Collected , July 2020:    1. Model Data & Parameters     2. Analysis Data, Response to COVID    3. Baseline Data] by, Linda Angulo Lopez @lindangulopez",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total NO2 Emissions = f1(F) + f2(NE ) +f3(T) + f4(FZ) +f5(NG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total NO2 Emissions = f1(Background Anthropocentric Impacts) + f2(Natural Background Emissions ) +f3(Commuting to Work) + f4(Fertilization Rates in the Respective County ) +f5(Natural Gas Use),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
